Year,Manufacturing,Construction,Mining
1980,677039.9563,460295.4044,222268.7327
1981,709317.9789,419762.8957,220880.1396
1982,657758.4243,370853.6171,211026.6363
1983,709742.2224,384571.5073,200444.6958
1984,777520.0553,432775.9828,220234.6704
1985,802063.2532,464596.0776,232910.1434
1986,801580.7546,474702.6819,224592.8859
1987,860673.3936,484806.3876,235265.3272
1988,860673.3936,484806.3876,235265.3272
1989,920917.8611,508248.0474,263238.9009
1990,931526.4706,522649.4041,254328.8221
1991,919228.8718,519289.1561,251459.4595
1992,905094.2487,481545.489,255932.64
1993,935269.1179,492485.1096,248066.7453
1994,972774.1236,506243.8078,252182.3111
1995,1036981.438,534691.7128,273841.0477
1996,1079668.843,540386.0635,275852.1502
1997,1114182.717,569534.9663,257033.1678
1998,1240113.66,601967.5526,286195.8096
1999,1306749.322,634616.2393,265039.2581
2000,1390167.235,655162.8416,232698.6366
2001,1326054.782,640305.1901,262998.2363
2002,1359125.09,617925.4481,266130.1695
2003,1402136.408,619629.7141,231702.7491
2004,1516874.52,619470.6191,229253.1687
2005,1569324,612524,192269
2006,1634593.721,594037.4507,208487.7845
2007,1692470.696,561107.8212,214240.0242
2008,1593567.011,523993.3115,206180.9185
2009,1443767.869,456172.0289,249230.2301
2010,1605858.487,441791.7278,233952.2935
2011,1674503.673,440484.555,248831.052
