Sector,Year,Source,Carbon Emissions,Units
Aluminum,1998,2000,12.8 ,MMTCE
Aluminum,1999,2001,14.1 ,MMTCE
Aluminum,2000,2001,14.1 ,MMTCE
Aluminum,2001,2003,14.6 ,MMTCE
Aluminum,2002,2003,13.8 ,MMTCE
Aluminum,2003,2005,52.1 ,MMT
Aluminum,2004,2007,46.4 ,MMT
Aluminum,2005,2008,48.2 ,MMT
Aluminum,2006,2008,46.4 ,MMT
Aluminum,2007,2008,45.0 ,MMT
Aluminum,2008,2011,31.2,MMT
Aluminum,2009,2011,30.8,MMT
Aluminum,2010,2011,31.1,MMT
Aluminum,2011,2012,29.9,MMT
Cement,1998,2000,11.0 ,MMTCE
Cement,1999,2001,10.5 ,MMTCE
Cement,2000,2001,10.6 ,MMTCE
Cement,2001,2003,9.0 ,MMTCE
Cement,2002,2003,8.3 ,MMTCE
Cement,2003,2005,35.9 ,MMT
Cement,2004,2007,39.5 ,MMT
Cement,2005,2008,44.8 ,MMT
Cement,2006,2008,44.0 ,MMT
Cement,2007,2008,43.6 ,MMT
Cement,2008,2011,36.6,MMT
Cement,2009,2011,28.5,MMT
Cement,2010,2011,27.5,MMT
Cement,2011,2012,19.5,MMT
Chemicals,1998,2000,84.2 ,MMTCE
Chemicals,1999,2001,82.8 ,MMTCE
Chemicals,2000,2001,84.3 ,MMTCE
Chemicals,2001,2003,83.6 ,MMTCE
Chemicals,2002,2003,81.0 ,MMTCE
Chemicals,2003,2005,336.9 ,MMT
Chemicals,2004,2007,349.0 ,MMT
Chemicals,2005,2008,314.9 ,MMT
Chemicals,2006,2008,312.9 ,MMT
Chemicals,2007,2008,313.3 ,MMT
Chemicals,2008,2011,282.6,MMT
Chemicals,2009,2011,263,MMT
Chemicals,2010,2011,283.8,MMT
Chemicals,2011,2012,221.9,MMT
Food,1998,2000,26.8 ,MMTCE
Food,1999,2001,26.5 ,MMTCE
Food,2000,2001,26.8 ,MMTCE
Food,2001,2003,24.0 ,MMTCE
Food,2002,2003,23.4 ,MMTCE
Food,2003,2005,85.5 ,MMT
Food,2004,2007,92.8 ,MMT
Food,2005,2008,95.5 ,MMT
Food,2006,2008,96.6 ,MMT
Food,2007,2008,100.5 ,MMT
Food,2008,2011,107.1,MMT
Food,2009,2011,102.5,MMT
Food,2010,2011,105.1,MMT
Food,2011,2012,98.9,MMT
Glass,1998,2000,4.2 ,MMTCE
Glass,1999,2001,4.0 ,MMTCE
Glass,2000,2001,4.0 ,MMTCE
Glass,2001,2003,4.4 ,MMTCE
Glass,2002,2003,4.0 ,MMTCE
Glass,2003,2005,16.0 ,MMT
Glass,2004,2007,17.1 ,MMT
Glass,2005,2008,17.3 ,MMT
Glass,2006,2008,16.7 ,MMT
Glass,2007,2008,16.5 ,MMT
Glass,2008,2011,24.3,MMT
Glass,2009,2011,20,MMT
Glass,2010,2011,19.7,MMT
Glass,2011,2012,18.7,MMT
Iron and Steel,1998,2000,41.7 ,MMTCE
Iron and Steel,1999,2001,38.2 ,MMTCE
Iron and Steel,2000,2001,38.8 ,MMTCE
Iron and Steel,2001,2003,34.4 ,MMTCE
Iron and Steel,2002,2003,32.8 ,MMTCE
Iron and Steel,2003,2005,115.7 ,MMT
Iron and Steel,2004,2007,132.8 ,MMT
Iron and Steel,2005,2008,137.6 ,MMT
Iron and Steel,2006,2008,134.5 ,MMT
Iron and Steel,2007,2008,128.2 ,MMT
Iron and Steel,2008,2011,118.7,MMT
Iron and Steel,2009,2011,75.9,MMT
Iron and Steel,2010,2011,106.1,MMT
Iron and Steel,2011,2012,122.2,MMT
Paper,1998,2000,33.3 ,MMTCE
Paper,1999,2001,30.8 ,MMTCE
Paper,2000,2001,31.0 ,MMTCE
Paper,2001,2003,28.9 ,MMTCE
Paper,2002,2003,27.7 ,MMTCE
Paper,2003,2005,103.1 ,MMT
Paper,2004,2007,105.9 ,MMT
Paper,2005,2008,102.2 ,MMT
Paper,2006,2008,97.6 ,MMT
Paper,2007,2008,95.5 ,MMT
Paper,2008,2011,100,MMT
Paper,2009,2011,89.7,MMT
Paper,2010,2011,94.5,MMT
Paper,2011,2012,72,MMT
Refining,1998,2000,53.3 ,MMTCE
Refining,1999,2001,52.0 ,MMTCE
Refining,2000,2001,52.5 ,MMTCE
Refining,2001,2003,52.0 ,MMTCE
Refining,2002,2003,51.3 ,MMTCE
Refining,2003,2005,199.8 ,MMT
Refining,2004,2007,234.0 ,MMT
Refining,2005,2008,246.5 ,MMT
Refining,2006,2008,255.0 ,MMT
Refining,2007,2008,258.8 ,MMT
Refining,2008,2011,212.1,MMT
Refining,2009,2011,204.1,MMT
Refining,2010,2011,206.9,MMT
Refining,2011,2012,208.2,MMT
