,,Computer Control of the Building Environment,Computer Control of Processes and Major Energy-Using Equipment,WHR,Adjustable Speed Motors,Oxy Fuel Firing
1994,Food,11.40%,22.43%,13.44%,38.00%,NA
1994,Textiles & Apparel,9.04%,5.94%,2.86%,15.16%,NA
1994,Wood Products,10.22%,6.57%,2.09%,12.97%,NA
1994,Chemicals,16.11%,25.81%,12.39%,35.39%,NA
1994,Refining,9.59%,38.25%,13.85%,29.27%,NA
1994,Rubber & Plastics,11.35%,19.70%,5.99%,26.20%,NA
1994,"Stone, Clay & Glass",4.54%,16.02%,7.14%,14.18%,NA
1994,Primary Metals,7.33%,26.28%,12.18%,27.46%,NA
1994,Fabricated Metals,9.42%,9.01%,2.67%,18.20%,NA
1994,Machinery,8.77%,5.59%,2.88%,13.11%,NA
1994,Computers & Electronics,16.27%,9.45%,4.36%,11.74%,NA
1994,Transportation,11.35%,8.30%,2.51%,10.11%,NA
1994,Miscellaneous,10.84%,6.09%,2.31%,12.42%,NA
1998,Food,8.89%,23.65%,11.46%,38.30%,NA
1998,Textiles & Apparel,8.06%,10.47%,6.31%,24.44%,NA
1998,Wood Products,5.44%,8.79%,4.40%,17.90%,NA
1998,Chemicals,7.00%,28.99%,15.95%,42.54%,NA
1998,Refining,9.09%,30.75%,12.76%,41.05%,NA
1998,Rubber & Plastics,10.70%,19.19%,8.15%,33.39%,NA
1998,"Stone, Clay & Glass",5.67%,22.63%,6.27%,20.44%,NA
1998,Primary Metals,7.62%,29.69%,11.44%,40.10%,NA
1998,Fabricated Metals,5.11%,7.87%,3.20%,17.47%,NA
1998,Machinery,9.09%,9.07%,3.43%,16.49%,NA
1998,Computers & Electronics,17.60%,15.22%,4.08%,19.12%,NA
1998,Transportation,11.05%,15.22%,4.96%,23.52%,NA
1998,Miscellaneous,5.67%,4.87%,2.13%,15.19%,NA
2002,Food,10.67%,22.43%,13.26%,42.96%,1.46%
2002,Textiles & Apparel,8.66%,5.94%,3.33%,16.72%,0.24%
2002,Wood Products,5.61%,6.57%,3.04%,18.39%,0.25%
2002,Chemicals,7.10%,25.81%,15.50%,42.75%,0.84%
2002,Refining,14.56%,38.25%,13.07%,42.49%,1.20%
2002,Rubber & Plastics,6.35%,19.70%,6.82%,31.26%,0.15%
2002,"Stone, Clay & Glass",8.57%,16.02%,4.72%,22.55%,1.29%
2002,Primary Metals,7.35%,26.28%,9.34%,36.17%,4.08%
2002,Fabricated Metals,6.81%,9.01%,3.13%,17.62%,0.98%
2002,Machinery,12.13%,5.59%,3.72%,21.28%,0.96%
2002,Computers & Electronics,23.65%,9.45%,3.08%,21.36%,0.29%
2002,Transportation,15.86%,8.30%,7.67%,31.87%,0.81%
2002,Miscellaneous,9.29%,6.09%,1.49%,19.82%,0.00%
2006,Food,12.70%,22.43%,12.50%,45.76%,3.35%
2006,Textiles & Apparel,6.01%,5.94%,4.27%,16.20%,0.00%
2006,Wood Products,7.83%,6.57%,3.71%,21.97%,0.28%
2006,Chemicals,7.44%,25.81%,15.82%,51.27%,4.85%
2006,Refining,18.16%,38.25%,13.16%,50.85%,3.56%
2006,Rubber & Plastics,13.61%,19.70%,8.39%,36.84%,0.73%
2006,"Stone, Clay & Glass",9.71%,16.02%,5.64%,24.49%,1.68%
2006,Primary Metals,12.74%,26.28%,10.79%,48.33%,6.38%
2006,Fabricated Metals,7.97%,9.01%,4.14%,23.41%,0.00%
2006,Machinery,12.53%,5.59%,3.99%,17.18%,0.00%
2006,Computers & Electronics,22.62%,9.45%,3.20%,18.56%,0.60%
2006,Transportation,18.51%,8.30%,4.50%,28.45%,1.58%
2006,Miscellaneous,12.12%,6.09%,2.15%,11.34%,0.00%
